Meter, Time, W, V, A, WH, Cost, WH/Mo, Cost/Mo, Wmax, Vmax, Amax, Wmin, Vmin, Amin, PF, DC, PC, HZ, VA
ttyUSB0, 2016-08-27 23:00:26.539994, 101.6, 122.3, 0.991, 26.2, 0.002, 17379.5, 13.903, 101.6, 122.5, 1.001, 101.6, 122.2, 0.896, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:27.543270, 101.7, 122.4, 0.99, 26.3, 0.002, 17354.1, 13.883, 101.7, 122.4, 1.008, 101.6, 122.3, 0.916, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:28.541063, 101.7, 122.3, 0.963, 26.3, 0.002, 17328.5, 13.862, 101.7, 122.6, 0.99, 101.7, 122.2, 0.888, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:29.539627, 101.8, 122.5, 0.91, 26.3, 0.002, 17307.4, 13.845, 101.8, 122.5, 1.002, 101.7, 122.2, 0.886, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:30.542525, 101.7, 122.4, 0.922, 26.4, 0.002, 17277.7, 13.822, 101.8, 122.5, 1.007, 101.7, 122.2, 0.892, 88, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:31.541198, 101.7, 122.5, 0.893, 26.4, 0.002, 17252.5, 13.802, 101.7, 122.5, 1.006, 101.7, 122.3, 0.891, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:32.539097, 101.6, 122.4, 0.958, 26.4, 0.002, 17227.6, 13.782, 101.7, 122.5, 1.046, 101.6, 122.2, 0.893, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:33.542314, 101.6, 122.1, 0.95, 26.4, 0.002, 17202.8, 13.762, 101.6, 122.5, 1.011, 101.6, 122.1, 0.898, 84, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:34.540015, 101.5, 122.2, 0.961, 26.5, 0.002, 17178.0, 13.742, 101.6, 122.4, 0.984, 101.5, 122.1, 0.893, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:35.539243, 101.5, 122.4, 0.974, 26.5, 0.002, 17153.5, 13.722, 101.5, 122.4, 0.995, 101.5, 122.1, 0.895, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:36.542206, 101.5, 122.3, 0.996, 26.5, 0.002, 17129.2, 13.703, 101.5, 122.6, 1.014, 101.5, 122.3, 0.92, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:37.540041, 101.5, 122.2, 0.993, 26.5, 0.002, 17105.0, 13.684, 101.5, 122.4, 0.996, 101.5, 122.2, 0.898, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:38.538871, 101.6, 122.4, 0.964, 26.6, 0.002, 17080.7, 13.664, 101.6, 122.5, 1.001, 101.5, 122.1, 0.892, 86, 100, 0, 59.9, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:39.541590, 101.5, 122.4, 0.973, 26.6, 0.002, 17056.4, 13.645, 101.6, 122.5, 1.008, 101.5, 122.2, 0.905, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:40.539273, 101.5, 122.6, 0.917, 26.6, 0.002, 17032.3, 13.625, 101.5, 122.6, 1.002, 101.5, 122.2, 0.891, 85, 100, 0, 59.9, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:41.538466, 101.5, 122.3, 0.92, 26.7, 0.002, 17008.3, 13.606, 101.5, 122.6, 1.026, 101.5, 122.3, 0.902, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:42.541250, 101.5, 122.5, 0.892, 26.7, 0.002, 16984.6, 13.587, 101.5, 122.6, 1.008, 101.5, 122.3, 0.892, 84, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:43.538482, 101.5, 122.2, 0.917, 26.7, 0.002, 16960.8, 13.568, 101.5, 122.6, 0.987, 101.5, 122.2, 0.892, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:44.538545, 101.5, 122.4, 0.978, 26.8, 0.002, 16941.8, 13.553, 101.5, 122.5, 1.018, 101.5, 122.1, 0.894, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:45.541026, 101.7, 122.3, 0.957, 26.8, 0.002, 16914.5, 13.531, 101.7, 122.5, 1.022, 101.5, 122.2, 0.896, 85, 100, 0, 60.0, ThisIsBroken, 
